1	30	0.10
1	50	0.00
1	80	0.01
1	120	0.08
1	250	0.05
1	550	0.00
1	800	0.00
1	1050	0.03
1	1200	0.01
1	2000	0.00
1	2500	0.01
13	30	0.06
13	80	0.07
13	120	0.05
13	250	0.04
13	450	0.03
13	800	0.04
13	4000	0.00
21	15	0.16
21	60	0.14
21	100	0.05
21	200	0.07
21	450	0.03
21	800	0.04
21	1500	0.02
21	2700	0.01
21	3500	0.02
26	30	0.10
26	80	0.04
26	150	0.04
26	400	0.02
26	1000	0.02
26	2000	0.01
32	30	0.16
32	60	0.26
32	100	0.06
32	200	0.04
32	450	0.02
32	800	0.02
32	2267	0.02
38	20	0.04
38	60	0.05
38	396	0.02
38	840	0.02
44	20	0.09
44	40	0.06
44	80	0.27
44	150	0.07
44	300	0.03
44	500	0.02
44	1136	0.02
44	2560	0.02
44	2746	0.03
51	60	0.05
51	100	0.03
51	250	0.03
51	1200	0.01
53	20	0.15
53	60	0.09
53	90	0.05
60	8	0.04
64	30	0.01
64	50	0.03
64	60	0.06
64	100	0.04
64	150	0.01
64	400	0.02
64	650	0.02
64	2070	0.02
64	2323	0.02
64	2453	0.06
69	20	0.04
69	30	0.05
69	60	0.05
69	100	0.06
69	150	0.05
69	410	0.03
69	988	0.02
69	2463	0.01
69	3440	0.02
77	10	0.09
77	20	0.07
77	50	0.05
77	70	0.05
77	80	0.05
77	200	0.03
77	460	0.02
